run_id,ncc_primary,ncc_retrack,num_tracks,rmse_m,mean_m,median_m
1,0.50,0.55,100,63.259327,48.272832,38.819716
2,0.50,0.55,150,57.638656,47.364067,46.165364
3,0.50,0.55,200,80.090321,69.482332,60.885723
4,0.55,0.60,100,71.554021,60.942986,54.374894
5,0.55,0.60,150,81.748039,74.589401,79.334803
6,0.55,0.60,200,45.983578,39.518654,39.989487
7,0.60,0.65,100,80.787220,69.095880,69.477934
8,0.60,0.65,150,58.606983,41.626601,30.563706
9,0.60,0.65,200,88.757683,80.319363,77.544480
10,0.65,0.70,100,87.729476,80.085514,77.234540
11,0.65,0.70,150,93.544735,83.975984,91.286377
12,0.65,0.70,200,64.247676,53.802964,49.017962
